id,name,price,category,subcategory,image,unit,labels,stock,warehouseStock
p1,TOMATES PERITA X KG,3.49,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-118573.jpg,1 Kg,Nuevo,69,229
p2,Cebolla Blanca X KG,2.10,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-119503.jpg,1 Kg,,26,198
p3,PAPAS X KG,2.95,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-124224.jpg,1 Kg,Nuevo,74,130
p4,ZANAHORIAS X KG,2.89,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-125209.jpg,1 Kg,,42,360
p5,PIMENTON VERDE X KG,3.75,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-125210.jpg,1 Kg,,95,404
p6,Lechuga Romana,1.20,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-125832.jpg,1 Unidad,,19,348
p7,PLATANO X KG,2.79,frutas-vegetales,Enteras,/images/products/scraped/p-plazas-125858.jpg,1 Kg,,49,189
p8,CAMBUR X KG,1.35,frutas-vegetales,Enteras,/images/products/scraped/p-plazas-125914.jpg,1 Kg,,16,181
p9,MANZANA ROYAL GALA X KG,5.25,frutas-vegetales,Enteras,/images/products/scraped/p-plazas-125941.jpg,1 Kg,,92,306
p10,NARANJAS PARA JUGO X KG,2.50,frutas-vegetales,Enteras,/images/products/scraped/p-plazas-125953.jpg,1 Kg,Oferta,68,241
p11,LECHOSA X KG,1.75,frutas-vegetales,Enteras,/images/products/scraped/p-plazas-126060.jpg,1 Kg,Nuevo,94,324
p12,LIMONES X KG,4.19,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-126061.jpg,1 Kg,Nuevo,92,250
p13,PIÑA X UN,2.55,frutas-vegetales,Enteras,/images/products/scraped/p-plazas-126098.jpg,1 Unidad,,96,124
p14,Aguacate,5.20,frutas-vegetales,Frescos,/images/products/scraped/p-plazas-126100.jpg,1 Kg,,84,173
p15,PATILLA ROJA X KG,1.19,frutas-vegetales,Picadas,/images/products/scraped/p-plazas-126105.jpg,500g,,96,359
p16,CARNE MOLIDA SV,9.95,refrigerados-congelados,Carnes,/images/products/scraped/p-plazas-126120.jpg,1 Kg,,33,64
p17,Bistec de Ganso,11.50,refrigerados-congelados,Carnes,/images/products/scraped/p-plazas-126127.jpg,1 Kg,Nuevo,20,148
p18,COSTILLAS DE CERDO BBQ PREPARADOS PLAZAS CONGELADO X KG,21.95,refrigerados-congelados,Carnes,/images/products/scraped/p-plazas-126132.jpg,1 Kg,,89,145
p19,PECHUGA DE POLLO MOLIDA X KG,11.45,refrigerados-congelados,Pollos,/images/products/scraped/p-plazas-126139.jpg,1 Kg,,82,71
p20,Pollo Entero X KG,4.50,refrigerados-congelados,Pollos,/images/products/scraped/p-plazas-126151.jpg,1 Kg,Nuevo,42,55
p21,MUSLOS DE POLLO X KG,4.25,refrigerados-congelados,Pollos,/images/products/scraped/p-plazas-126160.jpg,1 Kg,,50,77
p22,Alitas de Pollo X KG,6.00,refrigerados-congelados,Pollos,/images/products/scraped/p-plazas-129410.jpg,1 Kg,,32,298
p23,JAMON ENDIABLADO PLUMROSE 60G,2.15,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-129411.jpg,500g,,93,323
p24,QUESO AMARILLO MAJU X KG,27.29,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-129413.jpg,500g,,98,460
p25,QUESO BLANCO MERIDEÑO X KG,10.99,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-130013.jpg,1 Kg,,84,282
p26,SALCHICHAS FRANKFURT PLUMROSE DE 350G,9.89,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-130493.jpg,1 Paquete,,59,430
p27,Tocino Ahumado Plumrose 250G,4.80,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-130595.jpg,250g,,39,155
p28,CHORIZO MONTSERRATINA TIPO VELA X KG,52.88,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-132136.jpg,500g,,55,170
p29,QUESO GUAYANES X KG,8.19,refrigerados-congelados,Embutidos,/images/products/scraped/p-plazas-132421.jpg,500g,,89,496
p30,NUGGETS DE POLLO PLAZAS CONGELADOS X KG,13.44,refrigerados-congelados,Pollos,/images/products/scraped/p-plazas-132682.jpg,1 Paquete,,37,322
p31,COCA COLA SIN AZUCAR 2L,1.44,viveres,Refrescos,/images/products/scraped/p-plazas-133154.jpg,2 L,,78,225
p32,PEPSI COLA 2L,1.45,viveres,Refrescos,/images/products/scraped/p-plazas-136158.jpg,2 L,,40,182
p33,CHINOTTO SIN CALORIAS 355CC,0.79,viveres,Refrescos,/images/products/scraped/p-plazas-136433.jpg,2 L,,11,173
p34,FRESCOLITA SIN CALORIAS 2L,1.44,viveres,Refrescos,/images/products/scraped/p-plazas-136439.jpg,2 L,,35,279
p35,MALTA MALTIN POLAR 1.5L,1.93,viveres,Refrescos,/images/products/scraped/p-plazas-136583.jpg,1.5 L,Oferta,53,482
p36,ARROZ MARY DORADO 800G,1.75,viveres,Arroz,/images/products/scraped/p-plazas-137240.jpg,1 Kg,,94,443
p37,ARROZ PRIMOR TRADICIONAL 900G,1.50,viveres,Arroz,/images/products/scraped/p-plazas-137534.jpg,1 Kg,,82,429
p38,PASTA CAPRI CANELONES 250G,1.49,viveres,Pasta,/images/products/scraped/p-plazas-137536.jpg,1 Kg,,19,327
p39,HARINA PAN MAIZ BLANCO GLUTEN FREE 2KG,2.45,viveres,Harinas,/images/products/scraped/p-plazas-137939.jpg,1 Kg,Nuevo,28,331
p40,CARAOTAS BLANCAS MARY 500G,3.40,viveres,Granos,/images/products/scraped/p-plazas-138840.jpg,500g,,82,461
p41,LENTEJAS MARY 400G,1.80,viveres,Granos,/images/products/scraped/p-plazas-139099.jpg,500g,,37,174
p42,ATUN MARGARITA EN ACEITE VEGETAL 140G,3.35,viveres,Enlatados,/images/products/scraped/p-plazas-139787.jpg,140g,,100,220
p43,ATUN MARGARITA AL NATURAL 140G,3.00,viveres,Enlatados,/images/products/scraped/p-plazas-139826.jpg,140g,,46,218
p44,MAIZ DULCE CAUJARAL 4UN,7.90,viveres,Enlatados,/images/products/scraped/p-plazas-140023.jpg,300g,,37,249
p45,ACEITE MAZEITE DE MAIZ 1L,5.80,viveres,Aceites,/images/products/scraped/p-plazas-142112.jpg,1 Litro,,90,193
p46,JABON LIQUIDO PROTEX DE AVENA 221ML,6.50,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-142124.jpg,3 Unidades,,59,82
p47,DESODORANTE ROLL ON DOVE DERMOACLARANTE 50ML,4.85,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-142125.jpg,50ml,,29,236
p48,CEPILLO DENTAL COLGATE 360 MEDIO,4.74,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-142173.jpg,100g,,14,284
p49,ACONDICIONADOR PANTENE RESTAURACION 400ML,11.34,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-142720.jpg,400ml,Oferta,56,492
p50,PAPEL HIGIENICO SCOTT PREMIUM 4 ROLLOS,6.89,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-142747.jpg,4 Rollos,,77,192
p51,TOALLAS SANITARIAS ALWAYS ACTIVE NOCTURNAS 8UN,3.55,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-143142.jpg,10 Unidades,,41,361
p52,CARTUCHO GILLETTE VENUS SKIN COMFORT4UND,16.48,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-144341.jpg,2 Unidades,,24,401
p53,Crema Corporal Lubriderm,8.50,cuidado-personal-salud,Aseo,/images/products/scraped/p-plazas-144342.jpg,400ml,,77,72
p54,ALGODON ALGOBAP HIDROFILO 100G,5.68,cuidado-personal-salud,Farmacia,/images/products/scraped/p-plazas-144343.jpg,100g,,94,349
p55,Hisopos Q-Tips,1.80,cuidado-personal-salud,Farmacia,/images/products/scraped/p-plazas-144618.jpg,100 Unidades,,35,500
p56,ALCOHOL DE QUEMAR OPIN 900ML,7.98,cuidado-personal-salud,Farmacia,/images/products/scraped/p-plazas-144820.jpg,250ml,,36,346
p57,AGUA OXIGENADA EL GUARDIAN 500ML,2.85,cuidado-personal-salud,Farmacia,/images/products/scraped/p-plazas-144920.jpg,100ml,,83,257
p58,CURITAS BRIUTCARE TRANSP X20 UN,4.29,cuidado-personal-salud,Farmacia,/images/products/scraped/p-plazas-145185.jpg,Caja,,71,319
p59,"DETERG LIQ ARIEL REVITACOLOR 1,8L",23.00,limpieza,/images/products/scraped/p-plazas-145204.jpg,/Ananas/images/products/detergente_liquido.png,2 L,,84,446
p60,POLVO PARA HORNEAR OLYMPIA 120G,3.75,limpieza,Detergentes,/images/products/scraped/p-plazas-145304.jpg,1 Kg,Oferta,27,155
p61,"SUAVITEL COMPLETE FRESCA PRIMAVERA 1,3L",11.02,limpieza,/images/products/scraped/p-plazas-146542.jpg,/Ananas/images/products/suavizante.png,1 L,,65,460
p62,DETERGENTE LAS LLAVES FLORAL POLVO 900G,4.34,limpieza,Detergentes,/images/products/scraped/p-plazas-146926.jpg,500ml,,68,284
p63,LAVAPLATOS CREMA AXION BICAR 7 EN 1 450G,5.12,limpieza,Detergentes,/images/products/scraped/p-plazas-146941.jpg,250g,,89,499
p64,"CLORO BONCLOR SUPER CLORO 4,5% 1L",2.15,limpieza,/images/products/scraped/p-plazas-147236.jpg,/Ananas/images/products/cloro.png,1 L,Nuevo,42,50
p65,Desinfectante Mistolin,2.20,limpieza,Detergentes,/images/products/scraped/p-plazas-147237.jpg,1 L,,55,271
p66,ESPONJA ETERNA DOBLE USO 2UN,2.75,limpieza,Accesorios,/images/products/scraped/p-plazas-147238.jpg,3 Unidades,Oferta,92,148
p67,Mopa de Algodon,5.00,limpieza,Accesorios,/images/products/scraped/p-plazas-147477.jpg,1 Unidad,,70,472
p68,ESCOBA EL EGIPCIO PRECEIN,3.21,limpieza,Accesorios,/images/products/scraped/p-plazas-147483.jpg,1 Unidad,,37,455
p69,COLETO ALGODON CLARA,4.34,limpieza,Accesorios,/images/products/scraped/p-plazas-149116.jpg,1 Unidad,,93,297
p70,BOLSAS GRANCO PARA BASURA EXTRA RESISTENTES 60L X 6UN,2.42,limpieza,Accesorios,/images/products/scraped/p-plazas-149286.jpg,10 Unidades,,67,125
p71,CERVEZA POLAR PILSEN LATA DE 250ML,0.99,licores,Cervezas,/images/products/scraped/p-plazas-149644.jpg,Caja 36,,56,256
p72,CERVEZA POLAR LIGHT LATA SLEEK DE 355ML,1.06,licores,Cervezas,/images/products/scraped/p-plazas-150618.jpg,Caja 36,,26,495
p73,CERVEZA SOLERA LATA DE 250ML,0.99,licores,Cervezas,/images/products/scraped/p-plazas-151364.jpg,6 Pack,,43,298
p74,Cerveza Zulia 6 Pack,6.00,licores,Cervezas,/images/products/scraped/p-plazas-1781546914965984.jpg,6 Pack,,100,78
p75,Ron Santa Teresa Linaje 750ML,18.00,licores,Destilados,/images/products/scraped/p-plazas-1781546915080477.jpg,750ml,,86,304
p76,"RON CACIQUE 500 NUEVA IMAGEN 0,75L",15.51,licores,/images/products/scraped/p-plazas-1781546915230773.jpg,/Ananas/images/products/ron_cacique.png,750ml,Nuevo,89,128
p77,Ron Pampero Aniversario 750ML,22.00,licores,Destilados,/images/products/scraped/p-plazas-178154691542597.jpg,750ml,Nuevo,100,338
p78,"RON CARUPANO RESERVA EXCLUSIVA 0,70L",19.01,licores,/images/products/scraped/p-plazas-1781546915471808.jpg,/Ananas/images/products/ron_diplomatico.png,750ml,,33,444
p79,"WHISKY BUCHANANS DE LUXE 0,70 L",49.46,licores,/images/products/scraped/p-plazas-1781546927632553.jpg,/Ananas/images/products/whisky_buchanans.png,750ml,,61,370
p80,"WHISKY OLD PARR SILVER 0,75L",32.16,licores,/images/products/scraped/p-plazas-178154692767962.jpg,/Ananas/images/products/whisky_parr.png,750ml,Nuevo,16,393
p81,"VODKA GORDONS MANDARINA 0,70L",11.96,licores,/images/products/scraped/p-plazas-1781546927726900.jpg,/Ananas/images/products/vodka.png,750ml,Nuevo,35,484
p82,Vino Tinto Casillero del Diablo 750ML,12.50,licores,Vinos,/images/products/scraped/p-plazas-1781546927807565.jpg,750ml,,26,253
p83,Vino Blanco Santa Helena 750ML,8.50,licores,Vinos,/images/products/scraped/p-plazas-1781546927890789.jpg,750ml,,13,106