"id";"nombre";"descripcion";"precio";"categoria";"imagen";"url_producto";"imagen_incrustada"
"p1";"TOMATES PERITA X KG";"";"2.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24279kg_2.jpg";"https://vallearriba.elplazas.com/tomate-perita.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24279kg_2.jpg", 1)"
"p2";"LECHOSA X KG";"";"1.75";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24166kg_2.jpg";"https://vallearriba.elplazas.com/lechosa.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24166kg_2.jpg", 1)"
"p3";"ZANAHORIAS X KG";"";"2.45";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24299kg.jpg";"https://vallearriba.elplazas.com/plz-24299kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24299kg.jpg", 1)"
"p4";"CALABACINES X KG";"";"1.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24046kg_2.jpg";"https://vallearriba.elplazas.com/calabacin.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24046kg_2.jpg", 1)"
"p5";"PIMENTON ROJO X KG";"";"5.95";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24378.jpg";"https://vallearriba.elplazas.com/plz-24378kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24378.jpg", 1)"
"p6";"MANGO INJERTO X KG";"";"1.45";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24186kg_2.jpg";"https://vallearriba.elplazas.com/mango-injerto.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24186kg_2.jpg", 1)"
"p7";"REPOLLO BLANCO X KG";"";"1.15";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24256kg_2.jpg";"https://vallearriba.elplazas.com/repollo-blanco.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24256kg_2.jpg", 1)"
"p8";"PEPINOS X KG";"";"1.29";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24235kg_2.jpg";"https://vallearriba.elplazas.com/pepino.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24235kg_2.jpg", 1)"
"p9";"FLORES DE BROCOLI VIMA CONGELADAS 450G";"";"6.25";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004614un.jpg";"https://vallearriba.elplazas.com/plz-20004614un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004614un.jpg", 1)"
"p10";"KIWI NATURAL X KG";"";"12.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24165kg_2.jpg";"https://vallearriba.elplazas.com/kiwi.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24165kg_2.jpg", 1)"
"p11";"PULPA DE DURAZNO TU VERDURA 1KG";"";"5.35";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003500un_1.jpg";"https://vallearriba.elplazas.com/plz-20003500un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003500un_1.jpg", 1)"
"p12";"AJOPORRO X KG";"";"2.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24013kg_2.jpg";"https://vallearriba.elplazas.com/ajoporro.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24013kg_2.jpg", 1)"
"p13";"CELERY X KG";"";"2.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24059kg_2.jpg";"https://vallearriba.elplazas.com/celery.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24059kg_2.jpg", 1)"
"p15";"REPOLLITOS DE BRUSELAS X KG";"";"13.99";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24257kg.jpg";"https://vallearriba.elplazas.com/plz-24257kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24257kg.jpg", 1)"
"p16";"PULPA DE MORA COTOPERI 397G";"";"3.35";"frutas-vegetales";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004864004un.jpg";"https://vallearriba.elplazas.com/plz-20004864004un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004864004un.jpg", 1)"
"p17";"QUESO PALMITA MADURADO DE AÑO DELIZULIA X KG";"";"15.39";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20272kg_2.jpg";"https://vallearriba.elplazas.com/queso-palmita-madurado-de-ano-delizulia.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20272kg_2.jpg", 1)"
"p18";"QUESO GUAYANES X KG";"";"8.19";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20215kg_2.jpg";"https://vallearriba.elplazas.com/queso-guayanes.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20215kg_2.jpg", 1)"
"p19";"QUESO MOZZARELLA CRISBRAY 2021 X KG";"";"12.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20772kg.jpg";"https://vallearriba.elplazas.com/plz-20772kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20772kg.jpg", 1)"
"p20";"JAMÓN COCIDO PLUMROSE POR KILO";"";"14.59";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21064kg_2.jpg";"https://vallearriba.elplazas.com/jamon-cocido-plumrose-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21064kg_2.jpg", 1)"
"p21";"QUESO BLANCO MERIDEÑO X KG";"";"10.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20613kg_2.jpg";"https://vallearriba.elplazas.com/queso-blanco-merideno-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20613kg_2.jpg", 1)"
"p22";"QUESO TELITA X KG";"";"8.19";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20366kg_2.jpg";"https://vallearriba.elplazas.com/queso-telita-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20366kg_2.jpg", 1)"
"p23";"QUESO PASTEURIZADO CRISBRAY 2021 X KG";"";"12.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20771kg.jpg";"https://vallearriba.elplazas.com/plz-20771kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20771kg.jpg", 1)"
"p26";"QUESO CATA DE ANO RALLADO X KG";"";"17.29";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20647kg.jpg";"https://vallearriba.elplazas.com/plz-20647kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20647kg.jpg", 1)"
"p27";"QUESO KALDINI UNTABLE 8 TRIANGULOS 120G";"";"3.29";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20005319un.jpg";"https://vallearriba.elplazas.com/plz-20005319un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20005319un.jpg", 1)"
"p28";"PEPPERONI MALLORCA X KG";"";"18.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21433kg_1_.jpg";"https://vallearriba.elplazas.com/plz-21433kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/1/21433kg_1_.jpg", 1)"
"p29";"QUESO BLANCO PALMIBUFALA X KG";"";"17.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20158kg_4.jpg";"https://vallearriba.elplazas.com/queso-blanco-palmibufala-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20158kg_4.jpg", 1)"
"p30";"QUESO MOZARELLA SANTA MARIA X KG";"";"17.99";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20270kg_2.jpg";"https://vallearriba.elplazas.com/queso-mozarella-santa-maria-por-kilo.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20270kg_2.jpg", 1)"
"p31";"QUESO PARMESANO QUENACA X KG";"";"50.00";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20294kg.jpg";"https://vallearriba.elplazas.com/plz-20294kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20294kg.jpg", 1)"
"p32";"SALCHICHAS FRANKFURT PLUMROSE DE 350G";"";"9.89";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003830un.jpg";"https://vallearriba.elplazas.com/plz-20003830un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20003830un.jpg", 1)"
"p33";"SALCHICHAS BLANCAS LEONESA X KG";"";"21.09";"refrigerados-congelados";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22216kg.jpg";"https://vallearriba.elplazas.com/plz-22216kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22216kg.jpg", 1)"
"p34";"ARROZ MARY PREMIUM 900G";"";"1.35";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001998un_2.jpg";"https://vallearriba.elplazas.com/plz-16001998un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001998un_2.jpg", 1)"
"p35";"ARROZ MARY SUPERIOR TIPO I 900G";"";"1.19";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002275un_1.jpg";"https://vallearriba.elplazas.com/plz-16002275un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002275un_1.jpg", 1)"
"p36";"ARROZ MARY ESMERALDA 100% 900G";"";"1.45";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002033un_1.jpg";"https://vallearriba.elplazas.com/plz-16002033un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002033un_1.jpg", 1)"
"p37";"LENTEJAS MARY 400G";"";"1.60";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002035un_2.jpg";"https://vallearriba.elplazas.com/plz-16002035un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002035un_2.jpg", 1)"
"p38";"CARAOTAS NEGRAS MARY 400G";"";"1.12";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002036un_2.jpg";"https://vallearriba.elplazas.com/plz-16002036un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002036un_2.jpg", 1)"
"p39";"ARROZ MARY DORADO 800G";"";"1.75";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001531un_3.jpg";"https://vallearriba.elplazas.com/arroz-dorado-mary-800g.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001531un_3.jpg", 1)"
"p40";"ARROZ MONICA TIPO I 900G";"";"1.49";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002424un.jpg";"https://vallearriba.elplazas.com/plz-16002424un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002424un.jpg", 1)"
"p41";"PASTA MARY SUPERIOR VERMICELLI 1KG";"";"2.10";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002008un_2.jpg";"https://vallearriba.elplazas.com/plz-16002008un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002008un_2.jpg", 1)"
"p42";"PASTA MARY SUPERIOR PLUMA 1KG";"";"2.49";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001963un_4.jpg";"https://vallearriba.elplazas.com/pasta-premium-plumitas-mary-1kg.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001963un_4.jpg", 1)"
"p43";"PASTA MARY PREMIUM LINGUINI 500G";"";"1.39";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001621un_4.jpg";"https://vallearriba.elplazas.com/pasta-linguini-mary-500g.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001621un_4.jpg", 1)"
"p44";"CARAOTAS NEGRAS PANTERA 400G";"";"1.40";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002388un_1.jpg";"https://vallearriba.elplazas.com/plz-16002388un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16002388un_1.jpg", 1)"
"p45";"SALSA PARA PASTAS OSOLE BOLOGNESA 200G";"";"1.89";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/0/10017234un_1.jpg";"https://vallearriba.elplazas.com/plz-10017234un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/0/10017234un_1.jpg", 1)"
"p46";"PASTA COLAVITA RIGATONI 500G";"";"3.95";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001367un_1.jpg";"https://vallearriba.elplazas.com/plz-16001367un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001367un_1.jpg", 1)"
"p47";"PASTA COLAVITA VERMICELLI 500G";"";"3.95";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001363un_1.jpg";"https://vallearriba.elplazas.com/pasta-vermicelli-colavita-500g.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001363un_1.jpg", 1)"
"p48";"PASTA COLAVITA SPAGHETTINI 500G";"";"3.35";"viveres";"https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001753un_1.jpg";"https://vallearriba.elplazas.com/plz-16001753un.html";"=IMAGE("https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/6/16001753un_1.jpg", 1)"
