id;nombre;descripcion;precio;categoria;imagen;url_producto;imagen_incrustada
p1;TOMATES PERITA X KG;;2.99;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p1.jpg;https://vallearriba.elplazas.com/tomate-perita.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p1.jpg"", 1)"
p2;LECHOSA X KG;;1.75;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p2.jpg;https://vallearriba.elplazas.com/lechosa.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p2.jpg"", 1)"
p3;ZANAHORIAS X KG;;2.45;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p3.jpg;https://vallearriba.elplazas.com/plz-24299kg.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p3.jpg"", 1)"
p4;CALABACINES X KG;;1.25;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p4.jpg;https://vallearriba.elplazas.com/calabacin.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p4.jpg"", 1)"
p5;PIMENTON ROJO X KG;;5.95;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p5.jpg;https://vallearriba.elplazas.com/plz-24378kg.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p5.jpg"", 1)"
p6;MANGO INJERTO X KG;;1.45;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p6.jpg;https://vallearriba.elplazas.com/mango-injerto.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p6.jpg"", 1)"
p7;REPOLLO BLANCO X KG;;1.15;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p7.jpg;https://vallearriba.elplazas.com/repollo-blanco.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p7.jpg"", 1)"
p8;PEPINOS X KG;;1.29;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p8.jpg;https://vallearriba.elplazas.com/pepino.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p8.jpg"", 1)"
p9;FLORES DE BROCOLI VIMA CONGELADAS 450G;;6.25;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p9.jpg;https://vallearriba.elplazas.com/plz-20004614un.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p9.jpg"", 1)"
p10;KIWI NATURAL X KG;;12.99;frutas-y-vegetales;https://jomstudiovzla.github.io/minegocio/images/products/scraped/p10.jpg;https://vallearriba.elplazas.com/kiwi.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p10.jpg"", 1)"
